WR6030       各口徑在所堪用表、領表及待修表(待報銷)查詢 -麻豆服務所       列表日期：1150724
   類別：全選 
表號,廠牌,型式,購置日期,購置原價,有效期限,類別,領表日期,領表人,備註,財產取得編號
107-B-829643,銓準,多重噴嘴機械式Ｂ級,107-08-28,520,115/ 7,待報銷,,,,
107-B-829644,銓準,多重噴嘴機械式Ｂ級,107-08-28,520,115/ 7,待報銷,,,,
107-B-829645,銓準,多重噴嘴機械式Ｂ級,107-08-28,520,115/ 7,待報銷,,,,
107-B-829646,銓準,多重噴嘴機械式Ｂ級,107-08-28,520,115/ 7,待報銷,,,,
107-B-829648,銓準,多重噴嘴機械式Ｂ級,107-08-28,520,115/ 7,待報銷,,,,
107-B-829650,銓準,多重噴嘴機械式Ｂ級,107-08-28,520,115/ 7,待報銷,,,,
107-B-829651,銓準,多重噴嘴機械式Ｂ級,107-08-28,520,115/ 7,待報銷,,,,
107-B-829652,銓準,多重噴嘴機械式Ｂ級,107-08-28,520,115/ 7,待報銷,,,,
107-B-829653,銓準,多重噴嘴機械式Ｂ級,107-08-28,520,115/ 7,待報銷,,,,
107-B-829654,銓準,多重噴嘴機械式Ｂ級,107-08-28,520,115/ 7,待報銷,,,,
107-B-829655,銓準,多重噴嘴機械式Ｂ級,107-08-28,520,115/ 7,待報銷,,,,
107-B-829656,銓準,多重噴嘴機械式Ｂ級,107-08-28,520,115/ 7,待報銷,,,,
107-B-829657,銓準,多重噴嘴機械式Ｂ級,107-08-28,520,115/ 7,待報銷,,,,
107-E-000188,弓銓,多重噴嘴電子式Ｃ級,    0-  0-  0,24634,115/ 5,待報銷,,,,
107-E-000189,弓銓,多重噴嘴電子式Ｃ級,    0-  0-  0,24634,115/ 5,待報銷,,,,
107-E-000190,弓銓,多重噴嘴電子式Ｃ級,    0-  0-  0,24634,115/ 5,待報銷,,,,
107-E-000192,弓銓,多重噴嘴電子式Ｃ級,    0-  0-  0,24634,115/ 5,待報銷,,,,
107-E-000198,弓銓,多重噴嘴電子式Ｃ級,    0-  0-  0,23473,115/ 5,待報銷,,,,
107-F-000251,弓銓,橫軸奧多曼式Ｃ級,    0-  0-  0,28610,115/ 5,待報銷,,,,
107-F-000252,弓銓,橫軸奧多曼式Ｃ級,    0-  0-  0,28610,115/ 5,待報銷,,,,
107-F-000803,弓銓,橫軸奧多曼式Ｃ級,107-10-05,28610,115/ 7,待報銷,,,,
107-G-000173,弓銓,橫軸奧多曼式Ｃ級,107-09-04,36077,115/ 6,待報銷,,,,
107-G-000174,弓銓,橫軸奧多曼式Ｃ級,107-09-04,36077,115/ 6,待報銷,,,,
107-H-000030,弓銓,橫軸奧多曼式Ｃ級,107-09-17,79626,115/ 6,待報銷,,,,
107-I-000009,弓銓,橫軸奧多曼式Ｃ級,107-09-17,135000,115/ 6,待報銷,,,,
107-C-118804,銓準,多重噴嘴機械式Ｂ級,    0-  0-  0,834,115/11,堪用表,,,Y 遺失,
108-B-017857,坤慶,多重噴嘴機械式Ｂ級,108-04-16,707,116/ 3,堪用表,,,,
108-B-017952,坤慶,多重噴嘴機械式Ｂ級,108-04-16,707,116/ 3,堪用表,,,,
108-B-045819,坤慶,多重噴嘴機械式Ｂ級,108-07-08,707,116/ 5,堪用表,,,,
108-B-045965,坤慶,多重噴嘴機械式Ｂ級,108-07-08,707,116/ 5,堪用表,,,,
108-B-066882,坤慶,多重噴嘴機械式Ｂ級,108-09-26,707,116/ 8,堪用表,,,,
108-B-066891,坤慶,多重噴嘴機械式Ｂ級,108-09-26,707,116/ 8,堪用表,,,,
108-B-066910,坤慶,多重噴嘴機械式Ｂ級,108-09-26,707,116/ 8,堪用表,,,,
108-B-069249,坤慶,多重噴嘴機械式Ｂ級,108-09-26,707,116/ 8,堪用表,,,,
108-B-170625,源泰,多重噴嘴機械式Ｂ級,108-07-19,515,116/ 6,堪用表,,,,
108-B-170682,源泰,多重噴嘴機械式Ｂ級,108-07-19,515,116/ 6,堪用表,,,,
108-B-291838,源泰,多重噴嘴機械式Ｂ級,108-11-29,515,116/11,堪用表,,,,
108-B-416054,儀鎮,多重噴嘴機械式Ｂ級,108-05-10,0,116/ 4,堪用表,,,,
108-B-416095,儀鎮,多重噴嘴機械式Ｂ級,108-05-10,0,116/ 4,堪用表,,,,
108-B-566450,儀鎮,多重噴嘴機械式Ｂ級,108-11-04,515,116/ 9,堪用表,,,,
108-B-696270,坤慶,多重噴嘴機械式Ｂ級,108-05-27,515,116/ 4,堪用表,,,,
108-B-818552,坤慶,多重噴嘴機械式Ｂ級,109-02-18,671,117/ 1,堪用表,,,,
108-B-819621,坤慶,多重噴嘴機械式Ｂ級,109-02-18,515,117/ 1,堪用表,,,,
108-C-054345,銓準,多重噴嘴機械式Ｂ級,108-05-03,640,116/ 3,堪用表,,,,
108-C-054384,銓準,多重噴嘴機械式Ｂ級,108-05-03,640,116/ 3,堪用表,,,,
108-C-054403,銓準,多重噴嘴機械式Ｂ級,108-05-03,640,116/ 3,堪用表,,,,
108-C-054409,銓準,多重噴嘴機械式Ｂ級,108-05-03,640,116/ 3,堪用表,,,,
108-C-054411,銓準,多重噴嘴機械式Ｂ級,108-05-03,640,116/ 3,堪用表,,,,
108-C-054448,銓準,多重噴嘴機械式Ｂ級,108-05-03,640,116/ 3,堪用表,,,,
108-C-054449,銓準,多重噴嘴機械式Ｂ級,108-05-03,640,116/ 3,堪用表,,,,
108-C-054459,銓準,多重噴嘴機械式Ｂ級,108-05-03,640,116/ 3,堪用表,,,,
108-C-054460,銓準,多重噴嘴機械式Ｂ級,108-05-03,640,116/ 3,堪用表,,,,
108-C-054461,銓準,多重噴嘴機械式Ｂ級,108-05-03,640,116/ 3,堪用表,,,,
108-C-054478,銓準,多重噴嘴機械式Ｂ級,108-05-03,640,116/ 3,堪用表,,,,
108-C-054485,銓準,多重噴嘴機械式Ｂ級,108-05-03,640,116/ 3,堪用表,,,,
108-C-054490,銓準,多重噴嘴機械式Ｂ級,108-05-03,640,116/ 3,堪用表,,,,
108-C-099810,銓準,多重噴嘴機械式Ｂ級,108-07-08,640,116/ 5,堪用表,,,,
108-C-099811,銓準,多重噴嘴機械式Ｂ級,108-07-08,640,116/ 5,堪用表,,,,
108-C-099814,銓準,多重噴嘴機械式Ｂ級,108-07-08,640,116/ 5,堪用表,,,,
108-C-099815,銓準,多重噴嘴機械式Ｂ級,108-07-08,640,116/ 5,堪用表,,,,
108-C-099816,銓準,多重噴嘴機械式Ｂ級,108-07-08,640,116/ 5,堪用表,,,,
108-C-099819,銓準,多重噴嘴機械式Ｂ級,108-07-08,640,116/ 5,堪用表,,,,
108-C-099824,銓準,多重噴嘴機械式Ｂ級,108-07-08,640,116/ 5,堪用表,,,,
108-C-099838,銓準,多重噴嘴機械式Ｂ級,108-07-08,640,116/ 5,堪用表,,,,
108-C-099842,銓準,多重噴嘴機械式Ｂ級,108-07-08,640,116/ 5,堪用表,,,,
108-C-099877,銓準,多重噴嘴機械式Ｂ級,108-07-08,640,116/ 5,堪用表,,,,
108-C-099886,銓準,多重噴嘴機械式Ｂ級,108-07-08,640,116/ 5,堪用表,,,,
108-E-000259,弓銓,多重噴嘴電子式Ｃ級,    0-  0-  0,24416,118/ 2,堪用表,,,R 送修領回,
109-B-118285,坤慶,多重噴嘴機械式Ｂ級,109-03-26,510,117/ 1,堪用表,,,,
109-B-152084,坤慶,多重噴嘴機械式Ｂ級,109-05-07,510,117/ 3,堪用表,,,,
109-B-268678,坤慶,多重噴嘴機械式Ｂ級,109-11-06,510,117/ 9,堪用表,,,,
109-B-268729,坤慶,多重噴嘴機械式Ｂ級,109-11-06,510,117/ 9,堪用表,,,,
109-B-345939,坤慶,多重噴嘴機械式Ｂ級,110-01-25,510,117/12,堪用表,,,,
109-B-346076,坤慶,多重噴嘴機械式Ｂ級,110-01-25,510,117/12,堪用表,,,,
109-B-391317,儀鎮,多重噴嘴機械式Ｂ級,109-03-17,510,117/ 1,堪用表,,,,
109-B-578951,源泰,多重噴嘴機械式Ｂ級,109-05-26,510,117/ 4,堪用表,,,,
109-B-608189,源泰,多重噴嘴機械式Ｂ級,109-07-21,510,117/ 6,堪用表,,,,
109-B-608277,源泰,多重噴嘴機械式Ｂ級,109-07-21,510,117/ 6,堪用表,,,,
109-C-026573,銓準,多重噴嘴機械式Ｂ級,109-02-27,794,117/ 1,堪用表,,,,
109-C-050663,銓準,多重噴嘴機械式Ｂ級,109-04-28,633,117/ 2,堪用表,,,,
109-C-050668,銓準,多重噴嘴機械式Ｂ級,109-04-28,633,117/ 2,堪用表,,,,
109-C-050670,銓準,多重噴嘴機械式Ｂ級,109-04-28,633,117/ 2,堪用表,,,,
109-C-050685,銓準,多重噴嘴機械式Ｂ級,109-04-28,633,117/ 2,堪用表,,,,
109-C-050688,銓準,多重噴嘴機械式Ｂ級,109-04-28,633,117/ 2,堪用表,,,,
109-C-050695,銓準,多重噴嘴機械式Ｂ級,109-04-28,633,117/ 2,堪用表,,,,
109-C-126195,銓準,多重噴嘴機械式Ｂ級,109-07-01,633,117/ 5,堪用表,,,,
109-C-137881,銓準,多重噴嘴機械式Ｂ級,109-08-31,633,117/ 7,堪用表,,,,
109-C-137884,銓準,多重噴嘴機械式Ｂ級,109-08-31,633,117/ 7,堪用表,,,,
109-C-137894,銓準,多重噴嘴機械式Ｂ級,109-08-31,633,117/ 7,堪用表,,,,
109-D-000941,源泰,多重噴嘴機械式Ｂ級,109-06-15,1359,117/ 4,堪用表,,,,
109-E-000817,弓銓,多重噴嘴電子式Ｃ級,    0-  0-  0,24202,119/ 1,堪用表,,,R 送修領回,
109-E-000818,弓銓,多重噴嘴電子式Ｃ級,    0-  0-  0,24202,119/ 1,堪用表,,,R 送修領回,
110-A-014809,儀鎮,多重噴嘴機械式Ｂ級,110-03-24,470,118/ 1,堪用表,,,,
110-A-014858,儀鎮,多重噴嘴機械式Ｂ級,110-03-24,470,118/ 1,堪用表,,,,
110-A-014892,儀鎮,多重噴嘴機械式Ｂ級,110-03-24,470,118/ 1,堪用表,,,,
110-A-014893,儀鎮,多重噴嘴機械式Ｂ級,110-03-24,470,118/ 1,堪用表,,,,
110-A-014951,儀鎮,多重噴嘴機械式Ｂ級,110-03-24,470,118/ 1,堪用表,,,,
110-A-015005,儀鎮,多重噴嘴機械式Ｂ級,110-03-24,470,118/ 1,堪用表,,,,
110-A-015057,儀鎮,多重噴嘴機械式Ｂ級,110-03-24,470,118/ 1,堪用表,,,,
110-A-015143,儀鎮,多重噴嘴機械式Ｂ級,110-03-24,470,118/ 1,堪用表,,,,
110-A-015188,儀鎮,多重噴嘴機械式Ｂ級,110-03-24,470,118/ 1,堪用表,,,,
110-A-015222,儀鎮,多重噴嘴機械式Ｂ級,110-03-24,470,118/ 1,堪用表,,,,
110-A-015303,儀鎮,多重噴嘴機械式Ｂ級,110-03-24,470,118/ 1,堪用表,,,,
110-A-015365,儀鎮,多重噴嘴機械式Ｂ級,110-03-24,470,118/ 1,堪用表,,,,
110-A-015369,儀鎮,多重噴嘴機械式Ｂ級,110-03-24,470,118/ 1,堪用表,,,,
110-A-015456,儀鎮,多重噴嘴機械式Ｂ級,110-03-24,470,118/ 1,堪用表,,,,
110-A-015462,儀鎮,多重噴嘴機械式Ｂ級,110-03-24,470,118/ 1,堪用表,,,,
110-A-015481,儀鎮,多重噴嘴機械式Ｂ級,110-03-24,470,118/ 1,堪用表,,,,
110-A-015495,儀鎮,多重噴嘴機械式Ｂ級,110-03-24,470,118/ 1,堪用表,,,,
110-A-015510,儀鎮,多重噴嘴機械式Ｂ級,110-03-24,470,118/ 1,堪用表,,,,
110-A-015569,儀鎮,多重噴嘴機械式Ｂ級,110-03-24,470,118/ 1,堪用表,,,,
110-A-015572,儀鎮,多重噴嘴機械式Ｂ級,110-03-24,470,118/ 1,堪用表,,,,
110-A-056673,儀鎮,多重噴嘴機械式Ｂ級,110-07-14,470,118/ 5,堪用表,,,,
110-A-056674,儀鎮,多重噴嘴機械式Ｂ級,110-07-14,470,118/ 5,堪用表,,,,
110-A-056696,儀鎮,多重噴嘴機械式Ｂ級,110-07-14,470,118/ 5,堪用表,,,,
110-A-056852,儀鎮,多重噴嘴機械式Ｂ級,110-07-14,470,118/ 5,堪用表,,,,
110-A-056906,儀鎮,多重噴嘴機械式Ｂ級,110-07-14,470,118/ 5,堪用表,,,,
110-A-056919,儀鎮,多重噴嘴機械式Ｂ級,110-07-14,470,118/ 5,堪用表,,,,
110-A-057024,儀鎮,多重噴嘴機械式Ｂ級,110-07-14,470,118/ 5,堪用表,,,,
110-A-057055,儀鎮,多重噴嘴機械式Ｂ級,110-07-14,470,118/ 5,堪用表,,,,
110-A-057073,儀鎮,多重噴嘴機械式Ｂ級,110-07-14,470,118/ 5,堪用表,,,,
110-A-057136,儀鎮,多重噴嘴機械式Ｂ級,110-07-14,470,118/ 5,堪用表,,,,
110-A-057145,儀鎮,多重噴嘴機械式Ｂ級,110-07-14,470,118/ 5,堪用表,,,,
110-A-057175,儀鎮,多重噴嘴機械式Ｂ級,110-07-14,470,118/ 5,堪用表,,,,
110-A-057201,儀鎮,多重噴嘴機械式Ｂ級,110-07-14,470,118/ 5,堪用表,,,,
110-A-057247,儀鎮,多重噴嘴機械式Ｂ級,110-07-14,470,118/ 5,堪用表,,,,
110-A-057270,儀鎮,多重噴嘴機械式Ｂ級,110-07-14,470,118/ 5,堪用表,,,,
110-A-057292,儀鎮,多重噴嘴機械式Ｂ級,110-07-14,470,118/ 5,堪用表,,,,
110-A-057300,儀鎮,多重噴嘴機械式Ｂ級,110-07-14,470,118/ 5,堪用表,,,,
110-A-109632,儀鎮,多重噴嘴機械式Ｂ級,110-08-25,470,118/ 7,堪用表,,,,
110-A-109645,儀鎮,多重噴嘴機械式Ｂ級,110-08-25,470,118/ 7,堪用表,,,Y 遺失,
110-A-109648,儀鎮,多重噴嘴機械式Ｂ級,110-08-25,470,118/ 7,堪用表,,,,
110-A-109745,儀鎮,多重噴嘴機械式Ｂ級,110-08-25,470,118/ 7,堪用表,,,,
110-A-109793,儀鎮,多重噴嘴機械式Ｂ級,110-08-25,470,118/ 7,堪用表,,,,
110-A-109889,儀鎮,多重噴嘴機械式Ｂ級,110-08-25,470,118/ 7,堪用表,,,,
110-A-109921,儀鎮,多重噴嘴機械式Ｂ級,110-08-25,470,118/ 7,堪用表,,,,
110-A-110034,儀鎮,多重噴嘴機械式Ｂ級,110-08-25,470,118/ 7,堪用表,,,,
110-A-110047,儀鎮,多重噴嘴機械式Ｂ級,110-08-25,470,118/ 7,堪用表,,,,
110-A-110063,儀鎮,多重噴嘴機械式Ｂ級,110-08-25,470,118/ 7,堪用表,,,,
110-A-110191,儀鎮,多重噴嘴機械式Ｂ級,110-08-25,470,118/ 7,堪用表,,,,
110-A-110193,儀鎮,多重噴嘴機械式Ｂ級,110-08-25,470,118/ 7,堪用表,,,,
110-A-110238,儀鎮,多重噴嘴機械式Ｂ級,110-08-25,470,118/ 7,堪用表,,,,
110-A-110284,儀鎮,多重噴嘴機械式Ｂ級,110-08-25,470,118/ 7,堪用表,,,,
110-A-144085,儀鎮,多重噴嘴機械式Ｂ級,110-09-23,470,118/ 8,堪用表,,,,
110-A-144139,儀鎮,多重噴嘴機械式Ｂ級,110-09-23,470,118/ 8,堪用表,,,,
110-A-144160,儀鎮,多重噴嘴機械式Ｂ級,110-09-23,470,118/ 8,堪用表,,,,
110-A-144221,儀鎮,多重噴嘴機械式Ｂ級,110-09-23,470,118/ 8,堪用表,,,,
110-A-144222,儀鎮,多重噴嘴機械式Ｂ級,110-09-23,470,118/ 8,堪用表,,,,
110-A-144304,儀鎮,多重噴嘴機械式Ｂ級,110-09-23,470,118/ 8,堪用表,,,,
110-A-144314,儀鎮,多重噴嘴機械式Ｂ級,110-09-23,470,118/ 8,堪用表,,,,
110-A-144336,儀鎮,多重噴嘴機械式Ｂ級,110-09-23,470,118/ 8,堪用表,,,,
110-A-144355,儀鎮,多重噴嘴機械式Ｂ級,110-09-23,470,118/ 8,堪用表,,,,
110-B-069112,坤慶,多重噴嘴機械式Ｂ級,110-10-13,699,118/ 9,堪用表,,,,
110-B-108590,源泰,多重噴嘴機械式Ｂ級,110-05-12,509,118/ 4,堪用表,,,,
110-B-139312,源泰,多重噴嘴機械式Ｂ級,110-07-13,509,118/ 6,堪用表,,,,
110-B-139358,源泰,多重噴嘴機械式Ｂ級,110-07-13,509,118/ 6,堪用表,,,,
110-B-410749,坤慶,多重噴嘴機械式Ｂ級,110-04-14,509,118/ 1,堪用表,,,,
110-B-410771,坤慶,多重噴嘴機械式Ｂ級,110-04-14,509,118/ 1,堪用表,,,,
110-C-015355,源泰,多重噴嘴機械式Ｂ級,110-03-25,793,118/ 2,堪用表,,,Y 遺失,
110-C-015362,源泰,多重噴嘴機械式Ｂ級,110-03-25,793,118/ 2,堪用表,,,,
110-C-015390,源泰,多重噴嘴機械式Ｂ級,110-03-25,793,118/ 2,堪用表,,,,
110-C-032721,銓準,多重噴嘴機械式Ｂ級,110-03-10,631,118/ 1,堪用表,,,,
110-C-032731,銓準,多重噴嘴機械式Ｂ級,110-03-10,631,118/ 1,堪用表,,,,
110-C-032761,銓準,多重噴嘴機械式Ｂ級,110-03-10,631,118/ 1,堪用表,,,,
110-C-032771,銓準,多重噴嘴機械式Ｂ級,110-03-10,631,118/ 1,堪用表,,,,
110-C-032774,銓準,多重噴嘴機械式Ｂ級,110-03-10,631,118/ 1,堪用表,,,,
110-C-032791,銓準,多重噴嘴機械式Ｂ級,110-03-10,631,118/ 1,堪用表,,,,
110-C-133333,銓準,多重噴嘴機械式Ｂ級,110-08-10,631,118/ 6,堪用表,,,,
110-C-172002,銓準,多重噴嘴機械式Ｂ級,110-10-13,631,118/ 8,堪用表,,,,
110-C-172018,銓準,多重噴嘴機械式Ｂ級,110-10-13,631,118/ 8,堪用表,,,,
110-C-172950,銓準,多重噴嘴機械式Ｂ級,110-10-13,631,118/ 8,堪用表,,,,
111-A-014631,儀鎮,多重噴嘴機械式Ｂ級,111-03-11,503,119/ 1,堪用表,,,,
111-A-014683,儀鎮,多重噴嘴機械式Ｂ級,111-03-11,503,119/ 1,堪用表,,,,
111-A-014685,儀鎮,多重噴嘴機械式Ｂ級,111-03-11,503,119/ 1,堪用表,,,,
111-A-014687,儀鎮,多重噴嘴機械式Ｂ級,111-03-11,503,119/ 1,堪用表,,,,
111-A-014701,儀鎮,多重噴嘴機械式Ｂ級,111-03-11,503,119/ 1,堪用表,,,,
111-A-014733,儀鎮,多重噴嘴機械式Ｂ級,111-03-11,503,119/ 1,堪用表,,,,
111-A-014810,儀鎮,多重噴嘴機械式Ｂ級,111-03-11,503,119/ 1,堪用表,,,,
111-A-014830,儀鎮,多重噴嘴機械式Ｂ級,111-03-11,503,119/ 1,堪用表,,,,
111-A-014977,儀鎮,多重噴嘴機械式Ｂ級,111-03-11,503,119/ 1,堪用表,,,,
111-A-015067,儀鎮,多重噴嘴機械式Ｂ級,111-03-11,503,119/ 1,堪用表,,,,
111-A-015070,儀鎮,多重噴嘴機械式Ｂ級,111-03-11,503,119/ 1,堪用表,,,,
111-A-015107,儀鎮,多重噴嘴機械式Ｂ級,111-03-11,503,119/ 1,堪用表,,,,
111-A-051695,儀鎮,多重噴嘴機械式Ｂ級,111-05-23,503,119/ 4,堪用表,,,,
111-A-051696,儀鎮,多重噴嘴機械式Ｂ級,111-05-23,503,119/ 4,堪用表,,,,
111-A-051697,儀鎮,多重噴嘴機械式Ｂ級,111-05-23,503,119/ 4,堪用表,,,,
111-A-051698,儀鎮,多重噴嘴機械式Ｂ級,111-05-23,503,119/ 4,堪用表,,,,
111-A-051699,儀鎮,多重噴嘴機械式Ｂ級,111-05-23,503,119/ 4,堪用表,,,,
111-A-051700,儀鎮,多重噴嘴機械式Ｂ級,111-05-23,503,119/ 4,堪用表,,,,
111-A-051701,儀鎮,多重噴嘴機械式Ｂ級,111-05-23,503,119/ 4,堪用表,,,,
111-A-051702,儀鎮,多重噴嘴機械式Ｂ級,111-05-23,503,119/ 4,堪用表,,,,
111-A-051703,儀鎮,多重噴嘴機械式Ｂ級,111-05-23,503,119/ 4,堪用表,,,,
111-A-051704,儀鎮,多重噴嘴機械式Ｂ級,111-05-23,503,119/ 4,堪用表,,,,
111-A-051705,儀鎮,多重噴嘴機械式Ｂ級,111-05-23,503,119/ 4,堪用表,,,,
111-A-051769,儀鎮,多重噴嘴機械式Ｂ級,111-05-23,503,119/ 4,堪用表,,,,
111-A-051824,儀鎮,多重噴嘴機械式Ｂ級,111-05-23,503,119/ 4,堪用表,,,,
111-A-051851,儀鎮,多重噴嘴機械式Ｂ級,111-05-23,503,119/ 4,堪用表,,,,
111-A-051875,儀鎮,多重噴嘴機械式Ｂ級,111-05-23,503,119/ 4,堪用表,,,,
111-A-051876,儀鎮,多重噴嘴機械式Ｂ級,111-05-23,503,119/ 4,堪用表,,,,
111-A-086789,儀鎮,多重噴嘴機械式Ｂ級,111-09-13,503,119/ 8,堪用表,,,,
111-A-086790,儀鎮,多重噴嘴機械式Ｂ級,111-09-13,503,119/ 8,堪用表,,,,
111-A-086817,儀鎮,多重噴嘴機械式Ｂ級,111-09-13,503,119/ 8,堪用表,,,,
111-A-089413,儀鎮,多重噴嘴機械式Ｂ級,111-09-13,503,119/ 8,堪用表,,,,
111-A-089434,儀鎮,多重噴嘴機械式Ｂ級,111-09-13,503,119/ 8,堪用表,,,,
111-A-089451,儀鎮,多重噴嘴機械式Ｂ級,111-09-13,503,119/ 8,堪用表,,,,
111-A-089502,儀鎮,多重噴嘴機械式Ｂ級,111-09-13,503,119/ 8,堪用表,,,,
111-A-089504,儀鎮,多重噴嘴機械式Ｂ級,111-09-13,503,119/ 8,堪用表,,,,
111-A-089587,儀鎮,多重噴嘴機械式Ｂ級,111-09-13,503,119/ 8,堪用表,,,,
111-A-114752,儀鎮,多重噴嘴機械式Ｂ級,112-02-03,503,119/12,堪用表,,,,
111-B-087630,源泰,多重噴嘴機械式Ｂ級,111-10-25,796,119/ 9,堪用表,,,,
111-B-464887,儀鎮,多重噴嘴機械式Ｂ級,111-11-14,546,119/10,堪用表,,,,
111-D-019940,銓準,多重噴嘴電子式Ｃ級,111-09-12,2520,119/ 7,堪用表,,,,
111-E-000419,弓銓,多重噴嘴電子式Ｃ級,    0-  0-  0,25567,121/ 3,堪用表,,,R 送修領回,
112-A-026931,儀鎮,多重噴嘴機械式Ｂ級,112-02-21,501,120/ 1,堪用表,,,Y 遺失,
112-A-028819,儀鎮,多重噴嘴機械式Ｂ級,112-02-21,501,120/ 1,堪用表,,,,
112-A-028909,儀鎮,多重噴嘴機械式Ｂ級,112-02-21,501,120/ 1,堪用表,,,,
112-A-028926,儀鎮,多重噴嘴機械式Ｂ級,112-02-21,501,120/ 1,堪用表,,,,
112-A-028985,儀鎮,多重噴嘴機械式Ｂ級,112-02-21,501,120/ 1,堪用表,,,,
112-A-029119,儀鎮,多重噴嘴機械式Ｂ級,112-02-21,501,120/ 1,堪用表,,,,
112-A-029138,儀鎮,多重噴嘴機械式Ｂ級,112-02-21,501,120/ 1,堪用表,,,,
112-A-084631,儀鎮,多重噴嘴機械式Ｂ級,112-05-26,501,120/ 4,堪用表,,,,
112-A-084644,儀鎮,多重噴嘴機械式Ｂ級,112-05-26,501,120/ 4,堪用表,,,,
112-A-084651,儀鎮,多重噴嘴機械式Ｂ級,112-05-26,501,120/ 4,堪用表,,,,
112-A-084769,儀鎮,多重噴嘴機械式Ｂ級,112-05-26,501,120/ 4,堪用表,,,,
112-A-084905,儀鎮,多重噴嘴機械式Ｂ級,112-05-26,501,120/ 4,堪用表,,,,
112-A-084954,儀鎮,多重噴嘴機械式Ｂ級,112-05-26,501,120/ 4,堪用表,,,,
112-A-085053,儀鎮,多重噴嘴機械式Ｂ級,112-05-26,501,120/ 4,堪用表,,,,
112-A-085056,儀鎮,多重噴嘴機械式Ｂ級,112-05-26,501,120/ 4,堪用表,,,,
112-A-085168,儀鎮,多重噴嘴機械式Ｂ級,112-05-26,501,120/ 4,堪用表,,,,
112-A-135644,儀鎮,多重噴嘴機械式Ｂ級,112-08-28,501,120/ 7,堪用表,,,,
112-A-135948,儀鎮,多重噴嘴機械式Ｂ級,112-08-28,501,120/ 7,堪用表,,,,
112-A-176117,儀鎮,多重噴嘴機械式Ｂ級,112-11-03,501,120/ 9,堪用表,,,,
112-A-176229,儀鎮,多重噴嘴機械式Ｂ級,112-11-03,501,120/ 9,堪用表,,,,
112-A-176523,儀鎮,多重噴嘴機械式Ｂ級,112-11-03,501,120/ 9,堪用表,,,,
112-A-176605,儀鎮,多重噴嘴機械式Ｂ級,112-11-03,501,120/ 9,堪用表,,,,
112-A-176670,儀鎮,多重噴嘴機械式Ｂ級,112-11-03,501,120/ 9,堪用表,,,,
112-A-176749,儀鎮,多重噴嘴機械式Ｂ級,112-11-03,501,120/ 9,堪用表,,,,
112-A-248335,儀鎮,多重噴嘴機械式Ｂ級,112-12-18,501,120/11,堪用表,,,,
112-A-248337,儀鎮,多重噴嘴機械式Ｂ級,112-12-18,501,120/11,堪用表,,,,
112-A-248345,儀鎮,多重噴嘴機械式Ｂ級,112-12-18,501,120/11,堪用表,,,,
112-A-249060,儀鎮,多重噴嘴機械式Ｂ級,112-12-18,501,120/11,堪用表,,,,
112-A-249103,儀鎮,多重噴嘴機械式Ｂ級,112-12-18,501,120/11,堪用表,,,,
112-A-277201,儀鎮,多重噴嘴機械式Ｂ級,113-01-29,501,121/ 1,堪用表,,,,
112-A-277243,儀鎮,多重噴嘴機械式Ｂ級,113-01-29,501,121/ 1,堪用表,,,,
112-A-277257,儀鎮,多重噴嘴機械式Ｂ級,113-01-29,501,121/ 1,堪用表,,,,
112-A-277259,儀鎮,多重噴嘴機械式Ｂ級,113-01-29,501,121/ 1,堪用表,,,,
112-A-277314,儀鎮,多重噴嘴機械式Ｂ級,113-01-29,501,121/ 1,堪用表,,,,
112-A-277342,儀鎮,多重噴嘴機械式Ｂ級,113-01-29,501,121/ 1,堪用表,,,,
112-A-277407,儀鎮,多重噴嘴機械式Ｂ級,113-01-29,501,121/ 1,堪用表,,,,
112-A-277494,儀鎮,多重噴嘴機械式Ｂ級,113-01-29,501,121/ 1,堪用表,,,,
112-A-277538,儀鎮,多重噴嘴機械式Ｂ級,113-01-29,501,121/ 1,堪用表,,,,
112-A-277573,儀鎮,多重噴嘴機械式Ｂ級,113-01-29,501,121/ 1,堪用表,,,,
112-A-277574,儀鎮,多重噴嘴機械式Ｂ級,113-01-29,501,121/ 1,堪用表,,,,
112-A-277593,儀鎮,多重噴嘴機械式Ｂ級,113-01-29,501,121/ 1,堪用表,,,,
112-A-277599,儀鎮,多重噴嘴機械式Ｂ級,113-01-29,501,121/ 1,堪用表,,,Y 遺失,
112-B-360101,源泰,多重噴嘴機械式Ｂ級,112-09-05,544,120/ 8,堪用表,,,,
112-B-360525,源泰,多重噴嘴機械式Ｂ級,112-09-05,544,120/ 8,堪用表,,,,
112-C-005916,源泰,多重噴嘴機械式Ｂ級,112-05-17,897,120/ 4,堪用表,,,,
112-C-005917,源泰,多重噴嘴機械式Ｂ級,112-05-17,897,120/ 4,堪用表,,,,
112-D-006287,儀鎮,多重噴嘴機械式Ｂ級,112-06-20,1196,120/ 3,堪用表,,,,
112-D-006290,儀鎮,多重噴嘴機械式Ｂ級,112-06-20,1196,120/ 3,堪用表,,,,
113-A-012043,源泰,多重噴嘴機械式Ｂ級,113-03-26,511,121/ 2,堪用表,,,,
113-A-012113,源泰,多重噴嘴機械式Ｂ級,113-03-26,511,121/ 2,堪用表,,,,
113-A-012311,源泰,多重噴嘴機械式Ｂ級,113-03-26,511,121/ 2,堪用表,,,,
